0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","Net Investment April 16-30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025","AUC as on April 30, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,446481,32,0,0,0,0,0,0,0,0,0,446513,52104,4,0,0,0,0,0,0,0,0,0,52108,-2562,0,0,0,0,0,0,0,0,0,0,-2562,-299,0,0,0,0,0,0,0,0,0,0,-299,-645,0,0,0,0,0,0,0,0,0,0,-645,-76,0,0,0,0,0,0,0,0,0,0,-76,468081,32,0,0,0,0,0,0,0,0,0,468113,55034,4,0,0,0,0,0,0,0,0,0,55038
2,Capital Goods,309377,642,40,0,0,0,0,0,0,0,0,310059,36104,75,5,0,0,0,0,0,0,0,0,36184,-3019,-27,-1,0,0,0,0,0,0,0,0,-3047,-352,-3,0,0,0,0,0,0,0,0,0,-355,2944,-5,0,0,0,0,0,0,0,0,0,2939,346,-1,0,0,0,0,0,0,0,0,0,345,324394,636,39,0,0,0,0,0,0,0,0,325069,38140,75,5,0,0,0,0,0,0,0,0,38220
3,Chemicals,120154,0,523,0,0,0,0,0,0,0,0,120677,14022,0,61,0,0,0,0,0,0,0,0,14083,-309,0,0,0,0,0,0,0,0,0,0,-309,-36,0,0,0,0,0,0,0,0,0,0,-36,1184,0,0,0,0,0,0,0,0,0,0,1184,139,0,0,0,0,0,0,0,0,0,0,139,123105,0,523,0,0,0,0,0,0,0,0,123628,14474,0,61,0,0,0,0,0,0,0,0,14535
4,Construction,112486,95,0,0,105,0,0,0,0,0,0,112686,13127,11,0,0,12,0,0,0,0,0,0,13150,-2461,0,0,0,-4,0,0,0,0,0,0,-2465,-287,0,0,0,-1,0,0,0,0,0,0,-288,-425,0,0,0,-2,0,0,0,0,0,0,-427,-50,0,0,0,0,0,0,0,0,0,0,-50,113778,95,0,0,105,0,0,0,0,0,0,113978,13377,11,0,0,12,0,0,0,0,0,0,13400
5,Construction Materials,116176,1250,0,0,0,0,0,0,0,0,0,117426,13558,146,0,0,0,0,0,0,0,0,0,13704,-612,-101,0,0,0,0,0,0,0,0,0,-713,-71,-12,0,0,0,0,0,0,0,0,0,-83,415,0,0,0,0,0,0,0,0,0,0,415,49,0,0,0,0,0,0,0,0,0,0,49,115424,1250,0,0,0,0,0,0,0,0,0,116674,13571,147,0,0,0,0,0,0,0,0,0,13718
6,Consumer Durables,189833,0,0,0,0,0,0,0,0,0,0,189833,22153,0,0,0,0,0,0,0,0,0,0,22153,-1026,0,0,0,0,0,0,0,0,0,0,-1026,-120,0,0,0,0,0,0,0,0,0,0,-120,965,0,0,0,0,0,0,0,0,0,0,965,114,0,0,0,0,0,0,0,0,0,0,114,192451,0,0,0,0,0,0,0,0,0,0,192451,22627,0,0,0,0,0,0,0,0,0,0,22627
7,Consumer Services,278551,930,50,0,0,0,0,0,0,0,0,279531,32507,109,6,0,0,0,0,0,0,0,0,32622,-166,-73,0,0,0,0,0,0,0,0,0,-239,-19,-8,0,0,0,0,0,0,0,0,0,-27,1963,0,0,0,0,0,0,0,0,0,0,1963,231,0,0,0,0,0,0,0,0,0,0,231,287151,930,50,0,0,0,0,0,0,0,0,288131,33761,109,6,0,0,0,0,0,0,0,0,33876
8,Diversified,4781,179,0,0,0,0,0,0,0,0,0,4960,558,21,0,0,0,0,0,0,0,0,0,579,28,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,4622,179,0,0,0,0,0,0,0,0,0,4801,543,21,0,0,0,0,0,0,0,0,0,564
